(_disableHotplugEvents,DisableHotplugEvents)
(submit,Submit)
(__setInterface,SetInterface)
(Device,Device)
(_getLibusbCapability,GetLibusbCapability)
(refHotplugEvents,RefHotplugEvents)
(useUsbDkBackend,UseUsbDkBackend)
(__getConfigDescriptor,GetConfigDescriptor)
(unrefHotplugEvents,UnrefHotplugEvents)
(getDeviceList,GetDeviceList)
(cancel,Cancel)
(_enableHotplugEvents,EnableHotplugEvents)
(__setAutoDetachKernelDriver,SetAutoDetachKernelDriver)
(reset,Reset)
(__releaseInterface,ReleaseInterface)
(__attachKernelDriver,AttachKernelDriver)
(__isKernelDriverActive,IsKernelDriverActive)
(__setConfiguration,SetConfiguration)
(__getAllConfigDescriptors,GetAllConfigDescriptors)
(__claimInterface,ClaimInterface)
(__close,Close)
(setDebugLevel,SetDebugLevel)
(__open,Open)
(Transfer,Transfer)
(__clearHalt,ClearHalt)
(__getParent,GetParent)
(__detachKernelDriver,DetachKernelDriver)
(_supportedHotplugEvents,SupportedHotplugEvents)
