(xmlSAXParseFileWithData,_wrap_xmlSAXParseFileWithData)
(xmlXPathIntersection,_wrap_xmlXPathIntersection)
(xmlParseElementDecl,_wrap_xmlParseElementDecl)
(xmlRelaxNGNewDocParserCtxt,_wrap_xmlRelaxNGNewDocParserCtxt)
(xmlNewChild,_wrap_xmlNewChild)
(xmlIsMixedElement,_wrap_xmlIsMixedElement)
(_xmlParserInputBuffer,_wrap_new__xmlParserInputBuffer)
(xmlParserPrintFileInfo,_wrap_xmlParserPrintFileInfo)
(xlinkIsLink,_wrap_xlinkIsLink)
(xmlThrDefPedanticParserDefaultValue,_wrap_xmlThrDefPedanticParserDefaultValue)
(xmlDocGetRootElement,_wrap_xmlDocGetRootElement)
(xmlOutputBufferCreateFd,_wrap_xmlOutputBufferCreateFd)
(xmlParseAttValue,_wrap_xmlParseAttValue)
(xmlSAX2UnparsedEntityDecl,_wrap_xmlSAX2UnparsedEntityDecl)
(xmlXPtrNewLocationSetNodes,_wrap_xmlXPtrNewLocationSetNodes)
(xmlValidateDtdFinal,_wrap_xmlValidateDtdFinal)
(xmlUCSIsCatPf,_wrap_xmlUCSIsCatPf)
(xmlNormalizeURIPath,_wrap_xmlNormalizeURIPath)
(xmlXPathCompiledEval,_wrap_xmlXPathCompiledEval)
(xmlNewDocPI,_wrap_xmlNewDocPI)
(htmlCtxtReadMemory,_wrap_htmlCtxtReadMemory)
(xmlXPathPopExternal,_wrap_xmlXPathPopExternal)
(xmlValidateOneNamespace,_wrap_xmlValidateOneNamespace)
(xmlXPathModValues,_wrap_xmlXPathModValues)
(xmlThrDefSetStructuredErrorFunc,_wrap_xmlThrDefSetStructuredErrorFunc)
(xmlCreateURLParserCtxt,_wrap_xmlCreateURLParserCtxt)
(xmlThrDefOutputBufferCreateFilenameDefault,_wrap_xmlThrDefOutputBufferCreateFilenameDefault)
(xmlNewTextLen,_wrap_xmlNewTextLen)
(hasExternalSubset,_wrap_hasExternalSubset)
(xmlDictOwns,_wrap_xmlDictOwns)
(xmlMallocLoc,_wrap_xmlMallocLoc)
(xmlNewDocFragment,_wrap_xmlNewDocFragment)
(xmlDictSetLimit,_wrap_xmlDictSetLimit)
(xmlParseURI,_wrap_xmlParseURI)
(xmlStrcat,_wrap_xmlStrcat)
(xmlPopInput,_wrap_xmlPopInput)
(xmlUCSIsMyanmar,_wrap_xmlUCSIsMyanmar)
(xmlThrDefSubstituteEntitiesDefaultValue,_wrap_xmlThrDefSubstituteEntitiesDefaultValue)
(xmlSchemaValueGetAsBoolean,_wrap_xmlSchemaValueGetAsBoolean)
(xmlUCSIsTaiXuanJingSymbols,_wrap_xmlUCSIsTaiXuanJingSymbols)
(xmlUTF8Strlen,_wrap_xmlUTF8Strlen)
(xmlParseMarkupDecl,_wrap_xmlParseMarkupDecl)
(xmlNodeSetBase,_wrap_xmlNodeSetBase)
(xmlClearParserCtxt,_wrap_xmlClearParserCtxt)
(xmlRelaxNGNewParserCtxt,_wrap_xmlRelaxNGNewParserCtxt)
(xmlUCSIsPrivateUse,_wrap_xmlUCSIsPrivateUse)
