(GetContrastLevel,napi_GetContrastLevel)
(SetWhiteboardOnMainStream,napi_SetWhiteboardOnMainStream)
(IsFeatureSupported,napi_IsFeatureSupported)
(StorePTZPreset,napi_StorePTZPreset)
(SetNotificationUsage,napi_SetNotificationUsage)
(GetSetting,napi_GetSetting)
(SetHidWorkingState,napi_SetHidWorkingState)
(GetLanguagePackInformation,napi_GetLanguagePackInformation)
(ApplyPTZPreset,napi_ApplyPTZPreset)
(IsDevLogEnabled,napi_IsDevLogEnabled)
(GetWizardMode,napi_GetWizardMode)
(SetOnline,napi_SetOnline)
(GetSecondVideoStream,napi_GetSecondVideoStream)
(GetVideoMode,napi_GetVideoMode)
(DownloadFirmware,napi_DownloadFirmware)
(EnableFirmwareLock,napi_EnableFirmwareLock)
(TriggerDiagnosticLogGeneration,napi_TriggerDiagnosticLogGeneration)
(GetNetworkAuthenticationMode,napi_GetNetworkAuthenticationMode)
(RebootDevice,napi_RebootDevice)
(SetPictureInPicture,napi_SetPictureInPicture)
(GetFirmwareVersion,napi_GetFirmwareVersion)
(SetMute,napi_SetMute)
(IsOffHookSupported,napi_IsOffHookSupported)
(ClearPairedDevice,napi_ClearPairedDevice)
(GetNotificationStyle,napi_GetNotificationStyle)
(SetRemoteMmiAction,napi_SetRemoteMmiAction)
(GetRemoteControlBatteryStatus,napi_GetRemoteControlBatteryStatus)
(IsRemoteMmiInFocus,napi_IsRemoteMmiInFocus)
(GetWhiteBalance,napi_GetWhiteBalance)
(FactoryReset,napi_FactoryReset)
(IsRemoteManagementEnabled,napi_IsRemoteManagementEnabled)
(GetRemoteControlFirmwareVersion,napi_GetRemoteControlFirmwareVersion)
(GetPanics,napi_GetPanics)
(GetESN,napi_GetESN)
(ResetImageQualityControls,napi_ResetImageQualityControls)
(UnInitialize,napi_UnInitialize)
(SetBusyLightStatus,napi_SetBusyLightStatus)
(GetXpressManagementNetworkStatus,napi_GetXpressManagementNetworkStatus)
(GetPanTilt,napi_GetPanTilt)
(ConnectToJabraApplication,napi_ConnectToJabraApplication)
(ConnectNewDevice,napi_ConnectNewDevice)
(GetXpressUrl,napi_GetXpressUrl)
(IsUploadImageSupported,napi_IsUploadImageSupported)
(GetBrightnessLimits,napi_GetBrightnessLimits)
(SetNetworkAuthenticationMode,napi_SetNetworkAuthenticationMode)
(TriggerDECTSecurePairing,napi_TriggerDECTSecurePairing)
(EnableDevLog,napi_EnableDevLog)
(GetAutoPairing,napi_GetAutoPairing)
(GetPanTiltLimits,napi_GetPanTiltLimits)
(UploadRingtone,napi_UploadRingtone)
(SetSoftphoneReady,napi_SetSoftphoneReady)
(IsFactoryResetSupported,napi_IsFactoryResetSupported)
(GetLatestFirmwareInformation,napi_GetLatestFirmwareInformation)
(GetAudioFileParametersForUpload,napi_GetAudioFileParametersForUpload)
(DownloadFirmwareUpdater,napi_DownloadFirmwareUpdater)
(BTLinkQualityChangeEventEnabled,napi_BTLinkQualityChangeEventEnabled)
(GetSaturationLimits,napi_GetSaturationLimits)
(DisconnectBTDevice,napi_DisconnectBTDevice)
(GetWhiteboardPosition,napi_GetWhiteboardPosition)
(GetBrightnessLevel,napi_GetBrightnessLevel)
(GetLock,napi_GetLock)
(GetDECTPairingKey,napi_GetDECTPairingKey)
(GetLocalManifestVersion,napi_GetLocalManifestVersion)
(IsCertifiedForSkypeForBusiness,napi_IsCertifiedForSkypeForBusiness)
(ReleaseButtonFocus,napi_ReleaseButtonFocus)
(SearchNewDevices,napi_SearchNewDevices)
(TriggerDECTPairing,napi_TriggerDECTPairing)
(GetZoomLimits,napi_GetZoomLimits)
(GetSharpnessLimits,napi_GetSharpnessLimits)
(GetUserDefinedDeviceName,napi_GetUserDefinedDeviceName)
(GetMACAddress,napi_GetMACAddress)
(PreloadAttachedDeviceInfo,napi_PreloadAttachedDeviceInfo)
(GetPasswordProvisioning,napi_GetPasswordProvisioning)
(GetSaturationLevel,napi_GetSaturationLevel)
(SetRinger,napi_SetRinger)
(SetVideoHDR,napi_SetVideoHDR)
(GetConnectedHeadsetNames,napi_GetConnectedHeadsetNames)
(GetPairingList,napi_GetPairingList)
(SetHold,napi_SetHold)
(GetConstListSync,napi_GetConstListSync)
