(getInt64,GetInt64)
(rawsize,Rawsize)
(setCaps,SetCaps)
(wrapOdb,WrapOdb)
(isIgnored,IsIgnored)
(findSystem,FindSystem)
(Tag,JSNewFunction)
(direction,Direction)
(isTypeChange,IsTypeChange)
(addByPath,AddBypath)
(Apply,Apply)
(level,Level)
(name,Name)
(readTree,ReadTree)
(ProxyOptions,JSNewFunction)
(Worktree,JSNewFunction)
(addMacro,AddMacro)
(oldLines,OldLines)
(newStart,NewStart)
(WorktreePruneOptions,JSNewFunction)
(mergeheadForeach,MergeheadForeach)
(lookupByPath,LookupBypath)
(getThreadSafetyStatus,LockMasterGetStatus)
(createLightweight,CreateLightweight)
(enableThreadSafety,LockMasterEnable)
(SubmoduleUpdateOptions,JSNewFunction)
(fromString,Fromstrp)
(isNote,IsNote)
(setUrl,SetUrl)
(insertRecur,InsertRecur)
(update,Update)
(fetchRecurseSubmodules,FetchRecurseSubmodules)
(fileHistoryWalk,FileHistoryWalk)
(caps,Caps)
(base,Base)
(Object,JSNewFunction)
(deleteMultivar,DeleteMultivar)
(odb,Odb)
(createFromFile,CreateFromfile)
(setIdent,SetIdent)
(getReferences,GetReferences)
(openBare,OpenBare)
(upstream,Upstream)
(pushHead,PushHead)
(ConfigEntry,JSNewFunction)
(numLinesInHunk,NumLinesInHunk)
(symbolicCreate,SymbolicCreate)
(insertCommit,InsertCommit)
(connect,Connect)
(hash,Hash)
(sync,Sync)
(type,Type)
(len,Len)
(setInt64,SetInt64)
(WorktreeAddOptions,JSNewFunction)
(srcMatches,SrcMatches)
(updateAll,UpdateAll)
(isCopied,IsCopied)
(datalen,Datalen)
(RemoteHead,JSNewFunction)
(lookup,Lookup)
(lockRef,LockRef)
(origPath,OrigPath)
(isHead,IsHead)
(klass,Klass)
(getHunkCount,GetHunkCount)
(descendantOf,DescendantOf)
(Blame,JSNewFunction)
(contentLen,ContentLen)
(ours,Ours)
(DiffFindOptions,JSNewFunction)
(next,GitConfigNext)
(getUsername,GetUsername)
(isRenamed,IsRenamed)
(theirs,Theirs)
(PushUpdate,JSNewFunction)
(totalDeltas,TotalDeltas)
(newLineno,NewLineno)
(submoduleCacheAll,SubmoduleCacheAll)
(oidCalculations,OidCalculations)
(defaultBranch,DefaultBranch)
(head,Head)
(defaultNew,DefaultNew)
(DiffDelta,JSNewFunction)
(BlameOptions,JSNewFunction)
(status,Status)
(delete,Delete)
(commit,Commit)
(PathspecMatchList,JSNewFunction)
(Index,JSNewFunction)
(conflictCleanup,ConflictCleanup)
(insertions,Insertions)
(createWithOpts,CreateWithOpts)
(getDelta,GetDelta)
(createFromAnnotated,CreateFromAnnotated)
(string,String)
(commondir,Commondir)
(Transaction,JSNewFunction)
(getStringBuf,GetStringBuf)
(commitIteratorNew,CommitIteratorNew)
(streq,Streq)
(addFetch,AddFetch)
(isLocked,IsLocked)
(treeToTree,TreeToTree)
(isSortedIcase,IsSortedIcase)
(parent,Parent)
