(encodeFloat,encodeFloat)
(getStreamSampleRate,getStreamSampleRate)
(encode,encode)
(start,start)
(OpusEncoder,OpusEncoderWrap)
(getStreamLatency,getStreamLatency)
(stop,stop)
(getDefaultInputDevice,getDefaultInputDevice)
(decode,decode)
(getApi,getApi)
(closeStream,closeStream)
(isStreamRunning,isStreamRunning)
(OpusDecoder,OpusDecoderWrap)
(getDevices,getDevices)
(RtAudio,RtAudioWrap)
(setInputCallback,setInputCallback)
(setFrameOutputCallback,setFrameOutputCallback)
(clearOutputQueue,clearOutputQueue)
(isStreamOpen,isStreamOpen)
(decodeFloat,decodeFloat)
(write,write)
(openStream,openStream)
(getDefaultOutputDevice,getDefaultOutputDevice)
