db_init
db_open
db_close
db_put
db_get
db_get_many
db_del
db_clear
db_approximate_size
db_compact_range
db_get_property
destroy_db
repair_db
iterator_init
iterator_seek
iterator_end
iterator_next
batch_do
batch_init
batch_put
batch_del
batch_clear
batch_write
