Null::New
Number::GetValue
Number::GetUnit
Number::SetValue
Number::SetUnit
Boolean::New
Boolean::GetValue
String::GetValue
String::SetValue
Color::GetR
Color::GetG
Color::GetB
Color::GetA
Color::SetR
Color::SetG
Color::SetB
Color::SetA
Map::GetValue
Map::SetValue
Map::GetKey
Map::SetKey
Map::GetLength
List::GetValue
List::SetValue
List::GetSeparator
List::SetSeparator
List::GetLength
