bipy-calculator:1.1.8
@types/sqlite3:5.1.0
@mapbox/mbtiles:0.12.1
@keyv/sqlite:4.0.4
beyond:1.3.2
@skynetxbt/core:1.4.6
connect-sqlite3:0.9.15
mbtiles:0.9.0
@mikro-orm/sqlite:6.4.16
n8n:1.95.3
websql:2.0.3
webcredits:0.1.31
chrome-cookies-secure:3.0.0
@n8n/n8n-nodes-langchain:0.3.0
streamr-client:8.5.5
remotedev-server:0.3.1
sqlite-async:1.2.2
@roji-ai/roji:0.1.3
rappopo-sob:0.4.0
@dendronhq/engine-server:0.122.0
think-model-sqlite:1.3.2
@rosen-bridge/scanner:7.1.0
anydb-sql:0.7.1
@tugraph/openpiece-server:0.0.13
@ceramicnetwork/core:6.11.0
solidbot:0.0.55
db-migrate-sqlite3:1.0.2
@easylayer/common:0.6.12
@databases/sqlite:4.0.2
@neobeach/core:2.3.7
@botmate/server:1.2.2
document-drive:1.30.2
arlocal:1.1.66
ghost:5.121.0
@zkopru/database:2.0.0-beta.8
ankisync:0.6.1
@easylayer/components:0.5.1
@veramo/cli:6.0.0
thingpedia:2.10.0
@paroicms/internal-server-lib:1.15.5
jugglingdb-sqlite3:1.1.0
@force-bridge/x:0.1.11
typeorm-model-generator:0.4.6
@itandu/server:2.1.3
macaca-datahub:4.2.2
aliya-anup-database:10.0.2
@wize/sequelize-source:1.2.6
chat-platform:2.1.4
@meshobj/server:0.2.0
node-persistent-queue:1.0.5
@lowdefy/graphql:3.23.3
@mai-alpha/mai-native-core:0.0.6-snapshot
@streamr/sdk:102.1.1
sqlite-express:4.0.2
@near-solution/shell:1.0.1
@vokus/core:0.0.17
@themost/sqlite:2.10.1
@joplin/lib:3.3.1
@bloxer/vanilla:1.0.0-alpha.2
dbinfoz:0.14.0
@patrick-ingle/bestbooks-core:1.0.0
protontype:2.4.0
radic:0.7.0
any-db-sqlite3:2.3.0
haraka-plugin-graph:1.0.5
@neotracker/core:1.4.1
@typa/storage:0.0.24
@nuskin/message-bridge-util:0.5.0
byteballcore:0.2.93
neomixtape:0.0.4
spatialite:0.1.0
@sxltd/engine-server:0.1.1
indexeddb-js:0.0.14
sqlite3orm:2.7.5
@antcube/core:0.1.88
cymaple-plugin:1.0.3
noka-orm:2.4.5
@hotfusion/fusion:0.0.63
virtual-assistant:1.0.0
mbtiles2ungzpbf:1.1.5
@ajayos/nodedb:1.1.0
anydb-sql-fork-publish:0.7.5
minkelite:1.2.5
millstone:0.6.17
rdfstore:0.9.17
@beyond-js/bundles-sdk:1.0.10
@ironfish/sdk:2.11.0
project-connection-manager:1.0.9-d
@rosen-bridge/observation-extractor:7.1.1
@keyvhq/keyv-sql:1.0.0
@graphback/codegen-resolvers:0.12.1
@ecomplus/application-sdk:1.15.7
starfield-ts-modloader:0.9.0
@jaexa/sequelizer:1.0.2
@crosscopy/core:0.1.0-alpha.36
akasharender:0.9.1
@startupjs/backend:0.55.12
loopback-connector-sqlite3:3.0.0
waterline-sqlite3:50.0.0
@astreus-ai/astreus:0.1.4
@sequelize/sqlite3:7.0.0-alpha.46
@jacobbubu/job-list:1.0.3
@infosecinnovations/fantastic-db:0.6.0
@xqr/core-webhooks:2.1.0
automata-db:0.0.10
@coinmasters/pioneer-db-sql:4.8.9
@pingleware/bestbooks-core:1.3.4
@extollo/lib:0.14.14
@gyraff/connector:1.0.18
whatsasena-npm:1.3.8
@typetron/framework:0.4.0-rc13
@evidence-dev/sqlite:2.0.7
@best/api-db:14.0.0
smc-util-node:1.4.0
@endless-trash/sqlite-helpers:0.0.2
@batch-tester/core:0.11.5
co-sqlite3:0.1.3
@bearer/cli:1.13.9
@brix/api:0.2.0
docset-generator:0.3.0
espresso-multi:1.1.4
@hatiolab/things-shell:0.6.166
@flecks/db:4.1.4
@contrast/test-bench-utils:3.37.0
@ns5/storage:0.0.4
pruvious:3.15.1
the-api:20.7.13
@tasenor/common-node:1.14.9
starfield-ts-ml-screens:0.3.2
sqli:0.0.4
@cocalc/util-node:1.7.1
@zkopru/prisma:1.0.0-beta.2
@zakariaelas/test-dusame:1.3.3
mw-ocg-bundler:1.3.1
raphe:0.0.14
express-app-tea:1.1.4
@sidetree/qldb:0.3.1-unstable.60
w-orm-reladb:1.0.43
quickmin:0.0.103
teaus4:1.9.7
