image::new
image::get_src
image::set_src
image::set_data
image::get_width
image::get_height
image::get_complete
image::pixels
path::new
path::from_path
path::from_svg
path::addPath
path::closePath
path::moveTo
path::lineTo
path::bezierCurveTo
path::quadraticCurveTo
path::conicCurveTo
path::arc
path::arcTo
path::ellipse
path::rect
path::roundRect
path::op
path::interpolate
path::simplify
path::unwind
path::round
path::trim
path::jitter
path::offset
path::transform
path::bounds
path::contains
path::edges
path::get_d
path::set_d
gradient::linear
gradient::radial
gradient::conic
gradient::addColorStop
gradient::repr
pattern::from_image
pattern::from_image_data
pattern::from_canvas
pattern::setTransform
pattern::repr
texture::new
texture::repr
font_library::get_families
font_library::has
font_library::family
font_library::addFamily
font_library::reset
canvas::new
canvas::get_engine
canvas::set_engine
canvas::get_engine_status
canvas::get_width
canvas::set_width
canvas::get_height
canvas::set_height
canvas::save
canvas::saveSync
canvas::toBuffer
canvas::toBufferSync
context::api::new
context::api::resetSize
context::api::get_size
context::api::set_size
context::api::reset
context::api::save
context::api::restore
context::api::transform
context::api::translate
context::api::scale
context::api::rotate
context::api::resetTransform
context::api::get_currentTransform
context::api::set_currentTransform
context::api::createProjection
context::api::beginPath
context::api::rect
context::api::roundRect
context::api::arc
context::api::ellipse
context::api::moveTo
context::api::lineTo
context::api::arcTo
context::api::bezierCurveTo
context::api::quadraticCurveTo
context::api::conicCurveTo
context::api::closePath
context::api::isPointInPath
context::api::isPointInStroke
context::api::clip
context::api::fill
context::api::stroke
context::api::fillRect
context::api::strokeRect
context::api::clearRect
context::api::get_fillStyle
context::api::set_fillStyle
context::api::get_strokeStyle
context::api::set_strokeStyle
context::api::getLineDash
context::api::setLineDash
context::api::get_lineCap
context::api::set_lineCap
context::api::get_lineDashFit
context::api::set_lineDashFit
context::api::get_lineDashMarker
context::api::set_lineDashMarker
context::api::get_lineDashOffset
context::api::set_lineDashOffset
context::api::get_lineJoin
context::api::set_lineJoin
context::api::get_lineWidth
context::api::set_lineWidth
context::api::get_miterLimit
context::api::set_miterLimit
context::api::drawImage
context::api::drawCanvas
context::api::getImageData
context::api::putImageData
context::api::get_imageSmoothingEnabled
context::api::set_imageSmoothingEnabled
context::api::get_imageSmoothingQuality
context::api::set_imageSmoothingQuality
context::api::fillText
context::api::strokeText
context::api::measureText
context::api::outlineText
context::api::get_font
context::api::set_font
context::api::get_textAlign
context::api::set_textAlign
context::api::get_textBaseline
context::api::set_textBaseline
context::api::get_direction
context::api::set_direction
context::api::get_letterSpacing
context::api::set_letterSpacing
context::api::get_wordSpacing
context::api::set_wordSpacing
context::api::get_fontHinting
context::api::set_fontHinting
context::api::get_fontVariant
context::api::set_fontVariant
context::api::get_fontStretch
context::api::set_fontStretch
context::api::get_textWrap
context::api::set_textWrap
context::api::get_textDecoration
context::api::set_textDecoration
context::api::get_globalAlpha
context::api::set_globalAlpha
context::api::get_globalCompositeOperation
context::api::set_globalCompositeOperation
context::api::get_filter
context::api::set_filter
context::api::get_shadowBlur
context::api::set_shadowBlur
context::api::get_shadowColor
context::api::set_shadowColor
context::api::get_shadowOffsetX
context::api::get_shadowOffsetY
context::api::set_shadowOffsetX
context::api::set_shadowOffsetY
gui::launch
gui::quit
gui::close
gui::open
gui::set_rate
