initializeContext
isPoint
pointAdd
pointAddScalar
xOnlyPointAddTweak
xOnlyPointAddTweakCheck
pointCompress
pointFromScalar
xOnlyPointFromScalar
xOnlyPointFromPoint
pointMultiply
privateAdd
privateSub
privateNegate
sign
signRecoverable
signSchnorr
verify
recover
verifySchnorr
rustsecp256k1_v0_8_1_default_error_callback_fn
rustsecp256k1_v0_8_1_default_illegal_callback_fn
