player
av
audio-speaker
say-something
timbre
stream-player
stupid-player
fat-mp3
youtube-audio-player
pico.driver.nodeaudio
coffee-collider
@nomyx/assistant
trombone
dusp
lisa-speaker-polly
justaudio
@environment-safe/speech
@camilaprav/kittygpt
ipod
node-tts-google
pi-apa102-video
unitgen
tap-ogg
metronome-cli
node-red-contrib-audiostream-to-speaker
terminal-gbc-emulator
wae-cli
spotipi
audiocommons-es-speaker
jaxcore-say-node
lofi-girl-cli
friday-module-assistant
mimi-grep
gav
@bhznjns/node-mp3-player
ai-code-writer
eartrainer
@serxoz/fat-mp3
sylvia
remote-speaker
twitspot
ytlofi
youtube-sing
youtube-terminal
audio-out
covfefe-tweet
mediacenterjs-spotify
handbrake-watch
kortslutning
musical-keyboard
musicxml-to-speaker
music163-client
node-red-contrib-audio
@das.laboratory/nyan
node-youtube-player
node-ttastromech
infiniplayer
3abn
serafintech-player
triolet.driver.nodeaudio
wadcmd
sverigesradio
vinyl-singer
@maggo/blinkblink
stdaudio
raop-rtsp-server
running-death-overdrive
voaf
speaker-cli
punssi-buddy
moneymaker
listen-to-youtube-cli
canoga
darksiders2-ost
geostorm-ost
node-droid-language
light-tts
kcrw
homebridge-radioplayer
jscast
mike-admin
musa
audio-file-modifier
baidu.fm
FAEN
nodejs-youtube-player
@kabelsalat/cli
agent-a
twitter-alarm
vstjs-test
rudeplay
react-delivery
soundify
stratechery-reader
sonare
peerterminal
player-cli
sonor-typing
pimatic-tts
node-red-audio-out
@tilt.dev/untitled-goose-extension
@usekits/plugin-ai
gladys-picotts
jinglebells
hypnodetoad
decibel
darudejs-nodestorm
configandtss
lolwut
node-red-contrib-speaker
node-red-contrib-speakerpi
breakfast-machine
morsetick
moscil
jsgbc
kickass-player
g-sounds
baidu-reader
beeplay
airtalk
jsmusic
modulib-cli
strayve.io
polyphonist
play-sound-file
pi-music
nyan
music163-cli
mousai
mocha-funnynyan-reporter
lofi-cli
tplayer
nineku.fm
node-radio-mini
mocha-audio-reporter
tts-speak
sr-player
pia
puzzlescript-cli
wavyd
whoa
bring-sally-up
audiocommons-speaker
audio-playback
@ytdl/ytdl
banjo-sound
hourly-chime
homebridge-radio-player-plus
google-tts
epic_rock_radio
djesbe
lowfi
@365music/icecast
@fciannella/nvidia-easy-ar-tts-client
@librorum/aiservice
