(getRef,GetRef)
(setBorderDiagonal,SetBorderDiagonal)
(borderDiagonalColor,BorderDiagonalColor)
(setBorderDiagonalColor,SetBorderDiagonalColor)
(fillPattern,FillPattern)
(setFillPattern,SetFillPattern)
(patternBackgroundColor,PatternBackgroundColor)
(setPatternBackgroundColor,SetPatternBackgroundColor)
(patternForegroundColor,PatternForegroundColor)
(setPatternForegroundColor,SetPatternForegroundColor)
(hidden,Hidden)
(setHidden,SetHidden)
(setLocked,SetLocked)
(hyperlink,hyperlink)
(cellType,CellType)
(isFormula,IsFormula)
(cellFormat,CellFormat)
(setCellFormat,SetCellFormat)
(readStr,ReadStr)
(readString,ReadStr)
(readRichStr,ReadRichStr)
(writeRichStr,WriteRichStr)
(writeString,WriteStr)
(writeStr,WriteStr)
(readNum,ReadNum)
(writeNum,WriteNum)
(readBool,ReadBool)
(writeBool,WriteBool)
(readBlank,ReadBlank)
(writeBlank,WriteBlank)
(readFormula,ReadFormula)
(writeFormula,WriteFormula)
(writeFormulaNum,WriteFormulaNum)
(writeFormulaStr,WriteFormulaStr)
(writeFormulaBool,WriteFormulaBool)
(readComment,ReadComment)
(writeComment,WriteComment)
(removeComment,RemoveComment)
(isDate,IsDate)
(isRichStr,IsRichStr)
(readError,ReadError)
(writeError,WriteError)
(colWidth,ColWidth)
(rowHeight,RowHeight)
(colWidthPx,ColWidthPx)
(rowHeightPx,RowHeightPx)
(setCol,SetCol)
(setRow,SetRow)
(setColPx,SetColPx)
(setRowPx,SetRowPx)
(rowFormat,RowFormat)
(colFormat,ColFormat)
(rowHidden,RowHidden)
(setRowHidden,SetRowHidden)
(colHidden,ColHidden)
(setColHidden,SetColHidden)
(defaultRowHeight,DefaultRowHeight)
(setDefaultRowHeight,SetDefaultRowHeight)
(getMerge,GetMerge)
(setMerge,SetMerge)
(delMerge,DelMerge)
(mergeSize,MergeSize)
(merge,Merge)
(delMergeByIndex,DelMergeByIndex)
(removePicture,RemovePicture)
(removePictureByIndex,RemovePictureByIndex)
(setPicture,SetPicture)
(setPicture2,SetPicture2)
(getHorPageBreak,GetHorPageBreak)
(getHorPageBreakSize,GetHorPageBreakSize)
(getVerPageBreak,GetVerPageBreak)
(getVerPageBreakSize,GetVerPageBreakSize)
(setHorPageBreak,SetHorPageBreak)
(setVerPageBreak,SetVerPageBreak)
(split,Split)
(splitInfo,SplitInfo)
(groupRows,GroupRows)
(groupCols,GroupCols)
(groupSummaryBelow,GroupSummaryBelow)
(setGroupSummaryBelow,SetGroupSummaryBelow)
(groupSummaryRight,GroupSummaryRight)
(setGroupSummaryRight,SetGroupSummaryRight)
(clear,Clear)
(insertRow,InsertRow)
(insertRowSync,InsertRow)
(insertRowAsync,InsertRowAsync)
(insertCol,InsertCol)
(insertColSync,InsertCol)
(insertColAsync,InsertColAsync)
(removeRow,RemoveRow)
(removeRowSync,RemoveRow)
(removeRowAsync,RemoveRowAsync)
(removeCol,RemoveCol)
(removeColSync,RemoveCol)
(removeColAsync,RemoveColAsync)
(copyCell,CopyCell)
(firstRow,FirstRow)
(lastRow,LastRow)
(firstCol,FirstCol)
(lastCol,LastCol)
(firstFilledRow,FirstFilledRow)
(lastFilledRow,LastFilledRow)
(firstFilledCol,FirstFilledCol)
(lastFilledCol,LastFilledCol)
(displayGridlines,DisplayGridlines)
(setDisplayGridlines,SetDisplayGridlines)
(printGridlines,PrintGridlines)
(setPrintGridlines,SetPrintGridlines)
(zoom,Zoom)
(setZoom,SetZoom)
(printZoom,PrintZoom)
(setPrintZoom,SetPrintZoom)
(getPrintFit,GetPrintFit)
(setPrintFit,SetPrintFit)
(landscape,Landscape)
(setLandscape,SetLandscape)
(paper,Paper)
(setPaper,SetPaper)
(header,Header)
(setHeader,SetHeader)
(headerMargin,HeaderMargin)
(footer,Footer)
(setFooter,SetFooter)
(footerMargin,FooterMargin)
(hCenter,HCenter)
(setHCenter,SetHCenter)
(vCenter,VCenter)
(setVCenter,SetVCenter)
(marginLeft,MarginLeft)
(setMarginLeft,SetMarginLeft)
(marginRight,MarginRight)
(setMarginRight,SetMarginRight)
(marginTop,MarginTop)
(setMarginTop,SetMarginTop)
(marginBottom,MarginBottom)
(setMarginBottom,SetMarginBottom)
(printRowCol,PrintRowCol)
(setPrintRowCol,SetPrintRowCol)
(printRepeatRows,PrintRepeatRows)
(setPrintRepeatRows,SetPrintRepeatRows)
(printRepeatCols,PrintRepeatCols)
(setPrintRepeatCols,SetPrintRepeatCols)
(setPrintArea,SetPrintArea)
(clearPrintRepeats,ClearPrintRepeats)
(clearPrintArea,ClearPrintArea)
(getNamedRange,GetNamedRange)
(setNamedRange,SetNamedRange)
(delNamedRange,DelNamedRange)
(getTable,GetTable)
(tableSize,TableSize)
(table,Table)
(namedRangeSize,NamedRangeSize)
(namedRange,NamedRange)
(setName,SetName)
(protect,Protect)
(setProtect,SetProtect)
(rightToLeft,RightToLeft)
(setRightToLeft,SetRightToLeft)
(getTopLeftView,GetTopLeftView)
(setTopLeftView,SetTopLeftView)
(addrToRowCol,AddrToRowCol)
(rowColToAddr,RowColToAddr)
(hyperlinkSize,HyperlinkSize)
(hyperlink,Hyperlink)
(delHyperlink,DelHyperlink)
(addHyperlink,AddHyperlink)
(hyperlinkIndex,HyperlinkIndex)
(isAutoFilter,IsAutoFilter)
(autoFilter,AutoFilter)
(applyFilter,ApplyFilter)
(removeFilter,RemoveFilter)
(setAutoFitArea,SetAutoFitArea)
(tabColor,TabColor)
(setTabColor,SetTabColor)
(getTabColor,GetTabColor)
(addIgnoredError,AddIgnoredError)
(addDataValidation,AddDataValidation)
(addDataValidationDouble,AddDataValidationDouble)
(removeDataValidations,RemoveDataValidations)
(formControlSize,FormControlSize)
(formControl,FormControl)
(addConditionalFormatting,AddConditionalFormatting)
(getActiveCell,GetActiveCell)
(setActiveCell,SetActiveCell)
(selectionRange,SelectionRange)
(addSelectionRange,AddSelectionRange)
(removeSelection,RemoveSelection)
(text,text)
(addText,AddText)
(getText,GetText)
(textSize,TextSize)
(value,value)
(v1,v1)
(v2,v2)
(index,Index)
(filterType,FilterType)
(filterSize,FilterSize)
(filter,Filter)
(addFilter,AddFilter)
(getTop10,GetTop10)
(setTop10,SetTop10)
(getCustomFilter,GetCustomFilter)
(setCustomFilter,SetCustomFilter)
(setSize,SetSize)
(size,Size)
(italic,Italic)
(setItalic,SetItalic)
(strikeOut,StrikeOut)
(setStrikeOut,SetStrikeOut)
(color,Color)
(setColor,SetColor)
(bold,Bold)
(setBold,SetBold)
(script,Script)
(setScript,SetScript)
(underline,Underline)
(setUnderline,SetUnderline)
(setCustomNumFormat,SetCustomNumFormat)
