(init,Init)
(getCredentialsByKeytab,ByKeyTab)
(getCredentialsByPassword,ByPassword)
(generateSpnegoToken,GenToken)
(destroy,Destroy)
(initSync,InitSync)
(getCredentialsByKeytabSync,ByKeyTabSync)
(getCredentialsByPasswordSync,ByPasswordSync)
(generateSpnegoTokenSync,GenTokenSync)
(destroySync,DestroySync)
