(ImageView,NanNew)
(width,ImageView)
(height,ImageView)
(channels,ImageView)
(type,ImageView)
(stride,ImageView)
(asJpegStream,ImageView)
(asJpegDataUri,ImageView)
(asPngStream,ImageView)
(asPngDataUri,ImageView)
(asObject,ImageView)
(thumbnail,ImageView)
(version,version)
(buildInformation,buildInformation)
(analyzeImage,analyzeImage)
(calibrationPatternDetect,calibrationPatternDetect)
(calibrateCamera,calibrateCamera)
(loadImage,loadImage)
