(_readSync,ReadSync)
(_read,Read)
(_openSync,OpenSync)
(_closeSync,CloseSync)
(_writeSync,WriteSync)
(_write,Write)
(inAsyncCall,InAsyncGetter)
(isReadable,IsReadGetter)
(connectSync,ConnectSync)
(connect,Connect)
(querySync,QuerySync)
(query,Query)
(disconnect,Disconnect)
(commitSync,CommitSync)
(commit,Commit)
(rollbackSync,RollbackSync)
(rollback,Rollback)
(addFBevent,addEvent)
(deleteFBevent,deleteEvent)
(prepareSync,PrepareSync)
(newBlobSync,NewBlobSync)
(startTransactionSync,StartSync)
(startTransaction,Start)
(startNewTransactionSync,StartNewTransSync)
(startNewTransaction,StartNewTrans)
(connected,ConnectedGetter)
(inTransaction,InTransactionGetter)
(execSync,ExecSync)
(execInTransSync,ExecInTransSync)
(exec,Exec)
(execInTrans,ExecInTrans)
(fetchSync,FetchSync)
(fetch,Fetch)
(start,Start)
(startSync,StartSync)
