(detectMultiScale,DetectMultiScale)
(read,Read)
(setWidth,SetWidth)
(setHeight,SetHeight)
(getWidth,GetWidth)
(getHeight,GetHeight)
(setPosition,SetPosition)
(getFrameAt,GetFrameAt)
(getFrameCount,GetFrameCount)
(getFPS,GetFPS)
(setFPS,SetFPS)
(release,Release)
(readSync,ReadSync)
(grab,Grab)
(retrieve,Retrieve)
(copyMakeBorder,CopyMakeBorder)
(row,Row)
(col,Col)
(pixelRow,PixelRow)
(pixelCol,PixelCol)
(empty,Empty)
(get,Get)
(getPixel,GetPixel)
(set,Set)
(put,Put)
(brightness,Brightness)
(normalize,Normalize)
(norm,Norm)
(getData,GetData)
(pixel,Pixel)
(width,Width)
(height,Height)
(type,Type)
(size,Size)
(clone,Clone)
(crop,Crop)
(toBuffer,ToBuffer)
(toBufferAsync,ToBufferAsync)
(ellipse,Ellipse)
(rectangle,Rectangle)
(line,Line)
(fillPoly,FillPoly)
(save,Save)
(saveAsync,SaveAsync)
(resize,Resize)
(rotate,Rotate)
(warpAffine,WarpAffine)
(copyTo,CopyTo)
(convertTo,ConvertTo)
(pyrDown,PyrDown)
(pyrUp,PyrUp)
(channels,Channels)
(convertGrayscale,ConvertGrayscale)
(convertHSVscale,ConvertHSVscale)
(gaussianBlur,GaussianBlur)
(medianBlur,MedianBlur)
(bilateralFilter,BilateralFilter)
(sobel,Sobel)
(copy,Copy)
(flip,Flip)
(roi,ROI)
(ptr,Ptr)
(absDiff,AbsDiff)
(dct,Dct)
(idct,Idct)
(addWeighted,AddWeighted)
(add,Add)
(bitwiseXor,BitwiseXor)
(bitwiseNot,BitwiseNot)
(bitwiseAnd,BitwiseAnd)
(countNonZero,CountNonZero)
(moments,Moments)
(canny,Canny)
(dilate,Dilate)
(erode,Erode)
(findContours,FindContours)
(drawContour,DrawContour)
(drawAllContours,DrawAllContours)
(goodFeaturesToTrack,GoodFeaturesToTrack)
(calcOpticalFlowPyrLK,CalcOpticalFlowPyrLK)
(houghLinesP,HoughLinesP)
(houghCircles,HoughCircles)
(inRange,inRange)
(adjustROI,AdjustROI)
(locateROI,LocateROI)
(threshold,Threshold)
(adaptiveThreshold,AdaptiveThreshold)
(meanStdDev,MeanStdDev)
(cvtColor,CvtColor)
(split,Split)
(merge,Merge)
(equalizeHist,EqualizeHist)
(floodFill,FloodFill)
(matchTemplate,MatchTemplate)
(matchTemplateByMatrix,MatchTemplateByMatrix)
(templateMatches,TemplateMatches)
(minMaxLoc,MinMaxLoc)
(pushBack,PushBack)
(putText,PutText)
(getPerspectiveTransform,GetPerspectiveTransform)
(warpPerspective,WarpPerspective)
(Zeros,Zeros)
(Ones,Ones)
(Eye,Eye)
(getRotationMatrix2D,GetRotationMatrix2D)
(copyWithMask,CopyWithMask)
(setWithMask,SetWithMask)
(meanWithMask,MeanWithMask)
(mean,Mean)
(shift,Shift)
(reshape,Reshape)
(getrefCount,GetrefCount)
(subtract,Subtract)
(compare,Compare)
(mul,Mul)
(div,Div)
(pow,Pow)
(track,Track)
(write,Write)
(writeSync,WriteSync)
(point,Point)
(points,Points)
(cornerCount,CornerCount)
(area,Area)
(arcLength,ArcLength)
(approxPolyDP,ApproxPolyDP)
(convexHull,ConvexHull)
(boundingRect,BoundingRect)
(minAreaRect,MinAreaRect)
(fitEllipse,FitEllipse)
(isConvex,IsConvex)
(hierarchy,Hierarchy)
(serialize,Serialize)
(deserialize,Deserialize)
(findChessboardCorners,FindChessboardCorners)
(drawChessboardCorners,DrawChessboardCorners)
(calibrateCamera,CalibrateCamera)
(solvePnP,SolvePnP)
(getOptimalNewCameraMatrix,GetOptimalNewCameraMatrix)
(stereoCalibrate,StereoCalibrate)
(stereoRectify,StereoRectify)
(computeCorrespondEpilines,ComputeCorrespondEpilines)
(reprojectImageTo3d,ReprojectImageTo3D)
(dot,Dot)
(compute,Compute)
(calcHist,CalcHist)
(emd,Emd)
(show,Show)
(destroy,Destroy)
(blockingWaitKey,BlockingWaitKey)
(resizeWindow,ResizeWindow)
(undistort,Undistort)
(initUndistortRectifyMap,InitUndistortRectifyMap)
(remap,Remap)
(distanceTransform,DistanceTransform)
(getStructuringElement,GetStructuringElement)
(readImage,ReadImage)
(readImageAsync,ReadImageAsync)
(readImageMulti,ReadImageMulti)
(0,self)
(1,self)
(0,result)
(size,size)
(2,self)
(3,self)
(R1,Matrix)
(R2,Matrix)
(P1,Matrix)
(P2,Matrix)
(Q,Matrix)
(0,mat)
(1,mat)
