(start,start)
(stop,stop)
(pause,pause)
(resume,resume)
(setPrompt,setPrompt)
(overridePrompt,overridePrompt)
(restorePrompt,restorePrompt)
(prompt,prompt)
(log,log)
(error,error)
(sigint,sigint)
(on,on)
(setOptions,setOptions)
(addHistory,addHistory)
(readHistory,readHistory)
(writeHistory,writeHistory)
(clearHistory,clearHistory)
