(resize,resize)
(crop,crop)
(composite,composite)
(blur,blur)
(shadow,shadow)
(fillImage,fillImage)
(setStrokeColor,setStrokeColor)
(setStrokeWidth,setStrokeWidth)
(setFillColor,setFillColor)
(setFont,setFont)
(setFontSize,setFontSize)
(getFontMetrics,getFontMetrics)
(drawText,drawText)
(outlineImage,outlineImage)
(setBackgroundColor,setBackgroundColor)
(setFilterType,setFilterType)
(setType,setType)
(clone,clone)
(toBuffer,toBuffer)
(toFile,toFile)
