(doFileSync,DoFileSync)
(doFile,DoFile)
(doStringSync,DoStringSync)
(doString,DoString)
(setGlobal,SetGlobal)
(getGlobal,GetGlobal)
(status,Status)
(statusSync,StatusSync)
(collectGarbage,CollectGarbage)
(collectGarbageSync,CollectGarbageSync)
(close,Close)
(getName,GetName)
(registerFunction,RegisterFunction)
(push,Push)
(pop,Pop)
(getTop,GetTop)
(setTop,SetTop)
(replace,Replace)
