(seek,Seek)
(fcntl,Fcntl)
(flock,Flock)
(utime,UTime)
(statVFS,StatVFS)
(open,Database)
(close,Database)
(put,Database)
(get,Database)
(del,Database)
(batch,Database)
(approximateSize,Database)
(getProperty,Database)
(iterator,Database)
(put,Batch)
(del,Batch)
(clear,Batch)
(write,Batch)
(next,Iterator)
(end,Iterator)
