(close,Close)
(isRunning,IsRunning)
(delayByMil,DelayByMil)
(delayBySec,DelayBySec)
(delayByMin,DelayByMin)
(delayByHour,DelayByHour)
(initPrint,InitPrint)
(printLog,PrintLog)
(bytes,LogSize)
(closeLog,CloseLog)
(queNum,QueueNum)
(sha2,Sha2)
(hmac,Hmac)
(makeKeypair,MakeKeypair)
(sign,Sign)
(verify,Verify)
(runCode,RunCode)
(terminate,Terminate)
