(hecSetState,SmallInt)
(opsSystemAudioModeStatus,OpsSystemAudioModeStatus)
(msgGiveSystemAudioModeStatus,MsgGiveSystemAudioModeStatus)
(msgReportShortAudioDescriptor,MsgReportShortAudioDescriptor)
(opsReportShortAudioDescriptor,OpsReportShortAudioDescriptor)
(msgRequestShortAudioDescriptor,MsgRequestShortAudioDescriptor)
(opsRequestShortAudioDescriptor,OpsRequestShortAudioDescriptor)
(msgSetAudioRate,MsgSetAudioRate)
(opsSetAudioRate,OpsSetAudioRate)
(msgReportArcInitiated,MsgReportArcInitiated)
(msgInitiateArc,MsgInitiateArc)
(msgRequestArcInitiation,MsgRequestArcInitiation)
(msgReportArcTerminated,MsgReportArcTerminated)
(msgTerminateArc,MsgTerminateArc)
(msgRequestArcTermination,MsgRequestArcTermination)
(msgReportCurrentLatency,MsgReportCurrentLatency)
(opsReportCurrentLatency,OpsReportCurrentLatency)
(msgRequestCurrentLatency,MsgRequestCurrentLatency)
(opsRequestCurrentLatency,OpsRequestCurrentLatency)
(msgCdcHecInquireState,MsgCdcHecInquireState)
(opsCdcHecInquireState,OpsCdcHecInquireState)
(msgCdcHecReportState,MsgCdcHecReportState)
(opsCdcHecReportState,OpsCdcHecReportState)
(msgCdcHecSetState,MsgCdcHecSetState)
(opsCdcHecSetState,OpsCdcHecSetState)
(msgCdcHecSetStateAdjacent,MsgCdcHecSetStateAdjacent)
(opsCdcHecSetStateAdjacent,OpsCdcHecSetStateAdjacent)
(msgCdcHecRequestDeactivation,MsgCdcHecRequestDeactivation)
(opsCdcHecRequestDeactivation,OpsCdcHecRequestDeactivation)
(msgCdcHecNotifyAlive,MsgCdcHecNotifyAlive)
(opsCdcHecNotifyAlive,OpsCdcHecNotifyAlive)
(msgCdcHecDiscover,MsgCdcHecDiscover)
(opsCdcHecDiscover,OpsCdcHecDiscover)
(msgCdcHpdSetState,MsgCdcHpdSetState)
(opsCdcHpdSetState,OpsCdcHpdSetState)
(msgCdcHpdReportState,MsgCdcHpdReportState)
(opsCdcHpdReportState,OpsCdcHpdReportState)
