(hello,Method)
(folderInfo,InfoFolderFromPath)
(diskInfo,InfoDiskInSystem)
(deleteFile,DeleteFileFromPath)
(deleteFolder,DeleteFolderFromPath)
(createFolder,CreateFolderFromPath)
(createFile,CreateFileFromPath)
(copyFolder,CopyFolderFromPath)
(copyFile,CopyFileFromPath)
(renameFile,RenameFile)
(renameFolder,RenameFolder)
(isFolder,ChechOnFolder)
