(listXattrSync,ListXattrSync)
(setXattrSync,SetXattrSync)
(getXattrSync,GetXattrSync)
(removeXattrSync,RemoveXattrSync)
(setXattr,AsyncSetXAttr)
(getXattr,AsyncGetXAttr)
(removeXattr,AsyncRemoveXAttr)
(listXattr,AsyncListXAttr)
(setCustomIconSync,SetCustomIconForFileSync)
(setCustomIcon,SetCustomIconForFileAsync)
(serializeArrayOfString,MacSerializeArrayOfString)
(deserializeArrayOfString,MacDeserializeArrayOfString)
