(EclCreate,EclCreate)
(EclDestroy,EclDestroy)
(EclEncode,EclEncode)
(EclEncodeV,EclEncodeV)
(EclDecode,EclDecode)
(EclReconstructFragment,EclReconstructFragment)
(EclFragmentsNeeded,EclFragmentsNeeded)
(EclGetFragmentMetadata,EclGetFragmentMetadata)
(EclIsInvalidFragment,EclIsInvalidFragment)
(EclVerifyStripeMetadata,EclVerifyStripeMetadata)
(EclGetAlignedDataSize,EclGetAlignedDataSize)
(EclGetMinimumEncodeSize,EclGetMinimumEncodeSize)
(EclGetFragmentSize,EclGetFragmentSize)
