({{ function.jsFunctionName }},function)
({{ field.jsFunctionName }},field)
(createRevwalk,CreateRevwalk)
(push,Push)
(hide,Hide)
(next,Next)
(sorting,Sorting)
(simplifyFirstParent,SimplifyFirstParent)
(treeToTree,TreeToTree)
(numDeltas,NumDeltas)
(getDelta,GetDelta)
(id,Id)
(path,Path)
(size,Size)
(flags,Flags)
(mode,Mode)
(create,Create)
(load,Load)
(name,Name)
(url,Url)
(pushurl,Pushurl)
(list,List)
(rename,Rename)
(delete,Delete)
(time,Time)
(offset,Offset)
(lookup,Lookup)
(rawcontent,Rawcontent)
(rawsize,Rawsize)
(createFrombuffer,CreateFrombuffer)
(isBinary,IsBinary)
(target,Target)
(type,Type)
(open,Open)
(init,Init)
(initInitOptions,InitInitOptions)
(initExt,InitExt)
(index,Index)
(toBuffer,ToBuffer)
(removed,Removed)
(attr,Attr)
(oid,Oid)
(filenameLen,FilenameLen)
(filename,Filename)
(email,Email)
(when,When)
(strings,Strings)
(count,Count)
(message,Message)
(timeOffset,TimeOffset)
(committer,Committer)
(author,Author)
(treeId,TreeId)
(parentcount,Parentcount)
(parentId,ParentId)
(createCommit,CreateCommit)
(fromDiff,FromDiff)
(numHunks,NumHunks)
(numLinesInHunk,NumLinesInHunk)
(getLineInHunk,GetLineInHunk)
(insert,Insert)
(remove,Remove)
(write,Write)
(entrycount,Entrycount)
(entryByname,EntryByname)
(entryByindex,EntryByindex)
(entryBypath,EntryBypath)
(version,Version)
(ignoreSubmodules,IgnoreSubmodules)
(contextLines,ContextLines)
(interhunkLines,InterhunkLines)
(maxSize,MaxSize)
(oldPrefix,OldPrefix)
(newPrefix,NewPrefix)
(initOptions,InitOptions)
(head,Head)
(tree,Tree)
(status,Status)
(similarity,Similarity)
(nfiles,Nfiles)
(oldFile,OldFile)
(newFile,NewFile)
(fromstr,Fromstr)
(allocfmt,Allocfmt)
(origin,Origin)
(oldLineno,OldLineno)
(newLineno,NewLineno)
(numLines,NumLines)
(contentLen,ContentLen)
(contentOffset,ContentOffset)
(content,Content)
(get,Get)
(getMany,GetMany)
(cacheFlush,CacheFlush)
(addMacro,AddMacro)
