(useCount,GetUseCount)
(flush,InvokeFlush)
(release,InvokeRelease)
(postCache,InvokePostCache)
(clearCache,InvokeClearCache)
(enableFileLogging,InvokeEnableFileLogging)
(enableConsoleLogging,InvokeEnableConsoleLogging)
(major,GetMajor)
(minor,GetMinor)
(patch,GetPatch)
(setProjectId,InvokeSetProjectId)
(setWriteKey,InvokeSetWriteKey)
(sendEvent,InvokeSendEvent)
