(initialize,initialize)
(terminate,terminate)
(getVersion,getVersion)
(getErrorText,getErrorText)
(getHostApiCount,getHostApiCount)
(getDefaultHostApi,getDefaultHostApi)
(getHostApiInfo,getHostApiInfo)
(getLastHostErrorInfo,getLastHostErrorInfo)
(hostApiTypeIdToHostApiIndex,hostApiTypeIdToHostApiIndex)
(hostApiDeviceIndexToDeviceIndex,hostApiDeviceIndexToDeviceIndex)
(getDeviceCount,getDeviceCount)
(getDefaultInputDevice,getDefaultInputDevice)
(getDefaultOutputDevice,getDefaultOutputDevice)
(getDeviceInfo,getDeviceInfo)
(isFormatSupported,isFormatSupported)
(whyIsFormatUnsupported,whyIsFormatUnsupported)
(openStream,openStream)
(openDefaultStream,openDefaultStream)
(closeStream,closeStream)
(startStream,startStream)
(stopStream,stopStream)
(abortStream,abortStream)
(isStreamStopped,isStreamStopped)
(isStreamActive,isStreamActive)
(getStreamInfo,getStreamInfo)
(getStreamTime,getStreamTime)
(getStreamCpuLoad,getStreamCpuLoad)
(readStream,readStream)
(writeStream,writeStream)
(getStreamReadAvailable,getStreamReadAvailable)
(getStreamWriteAvailable,getStreamWriteAvailable)
(getSampleSize,getSampleSize)
