(version,Version)
(configure_from_file,ConfigureFromFile)
(configure,ConfigureValue)
(configure_all_loggers_from_file,ConfigureAllFromFile)
(configure_all_loggers,ConfigureAllValue)
(configure_all_loggers_by_level,ConfigureAllValueByLevel)
(write_log,WriteLog)
(register_logger,RegisterLogger)
(add_flag,AddFlag)
(remove_flag,RemoveFlag)
(has_flag,HasFlag)
