(OpenDevice,OpenDevice)
(CloseDevice,CloseDevice)
(AllocateGraph,AllocateGraph)
(SetDeviceOption,SetDeviceOption)
(GetDeviceOption,GetDeviceOption)
(DeallocateGraph,DeallocateGraph)
(LoadTensor,LoadTensor)
(GetResult,GetResult)
(SetGraphOption,SetGraphOption)
(GetGraphOption,GetGraphOption)
(28,size)
(34,size)
(EnumerateDevices,EnumerateDevices)
