(destroy,destroy)
(socksProxy,_socks_proxy)
(setSocksProxy,_set_socks_proxy)
(setXpubNodrop,_set_xpub_nodrop)
(setRouterMandatory,_set_router_mandatory)
(setProbeRouter,_set_probe_router)
(setReqRelaxed,_set_req_relaxed)
(setReqCorrelate,_set_req_correlate)
(setConflate,_set_conflate)
(zapDomain,_zap_domain)
(setZapDomain,_set_zap_domain)
(mechanism,_mechanism)
(plainServer,_plain_server)
(setPlainServer,_set_plain_server)
(plainUsername,_plain_username)
(setPlainUsername,_set_plain_username)
(plainPassword,_plain_password)
(setPlainPassword,_set_plain_password)
(curveServer,_curve_server)
(setCurveServer,_set_curve_server)
(curvePublickey,_curve_publickey)
(setCurvePublickey,_set_curve_publickey)
(setCurvePublickeyBin,_set_curve_publickey_bin)
(curveSecretkey,_curve_secretkey)
(setCurveSecretkey,_set_curve_secretkey)
(setCurveSecretkeyBin,_set_curve_secretkey_bin)
(curveServerkey,_curve_serverkey)
(setCurveServerkey,_set_curve_serverkey)
(setCurveServerkeyBin,_set_curve_serverkey_bin)
(gssapiServer,_gssapi_server)
(setGssapiServer,_set_gssapi_server)
(gssapiPlaintext,_gssapi_plaintext)
(setGssapiPlaintext,_set_gssapi_plaintext)
(gssapiPrincipal,_gssapi_principal)
(setGssapiPrincipal,_set_gssapi_principal)
(gssapiServicePrincipal,_gssapi_service_principal)
(setGssapiServicePrincipal,_set_gssapi_service_principal)
(ipv6,_ipv6)
(setIpv6,_set_ipv6)
(immediate,_immediate)
(setImmediate,_set_immediate)
(sndhwm,_sndhwm)
(setSndhwm,_set_sndhwm)
(rcvhwm,_rcvhwm)
(setRcvhwm,_set_rcvhwm)
(maxmsgsize,_maxmsgsize)
(setMaxmsgsize,_set_maxmsgsize)
(multicastHops,_multicast_hops)
(setMulticastHops,_set_multicast_hops)
(setXpubVerbose,_set_xpub_verbose)
(tcpKeepalive,_tcp_keepalive)
(setTcpKeepalive,_set_tcp_keepalive)
(tcpKeepaliveIdle,_tcp_keepalive_idle)
(setTcpKeepaliveIdle,_set_tcp_keepalive_idle)
(tcpKeepaliveCnt,_tcp_keepalive_cnt)
(setTcpKeepaliveCnt,_set_tcp_keepalive_cnt)
(tcpKeepaliveIntvl,_tcp_keepalive_intvl)
(setTcpKeepaliveIntvl,_set_tcp_keepalive_intvl)
(tcpAcceptFilter,_tcp_accept_filter)
(setTcpAcceptFilter,_set_tcp_accept_filter)
(lastEndpoint,_last_endpoint)
(setRouterRaw,_set_router_raw)
(ipv4only,_ipv4only)
(setIpv4only,_set_ipv4only)
(setDelayAttachOnConnect,_set_delay_attach_on_connect)
(hwm,_hwm)
(setHwm,_set_hwm)
