(print,Print)
(write,Write)
(read,Read)
(readline,ReadLine)
(load,Load)
(quit,Quit)
(version,Version)
(exit,system_exit)
(readFile,system_readFile)
(log,console_log)
(system,System)
(chdir,ChangeDirectory)
(setenv,SetEnvironment)
(unsetenv,UnsetEnvironment)
(umask,SetUMask)
(mkdirp,MakeDirectory)
(rmdir,RemoveDirectory)
