(parseQuery,Method)
(parseQueryAsync,MethodAsync)
(parsePlPgSQL,MethodPlPgSQL)
(parsePlPgSQLAsync,MethodPlPgSQLAsync)
(lineNumber,Value)
(cursorPosition,Value)
(context,Value)
(message,String)
(fileName,String)
(functionName,String)
(lineNumber,Integer)
(cursorPosition,Integer)
(context,String)
(stderr,String)
(parseQuerySync,ParseQuerySync)
(parseQueryAsync,ParseQueryAsync)
(parsePlPgSQLSync,ParsePlPgSQLSync)
(parsePlPgSQLAsync,ParsePlPgSQLAsync)
