(devices,Devices)
(_open,OpenDevice)
(setFrequency,SetFrequency)
(setBandwidth,SetBandwidth)
(setLNAGain,SetLNAGain)
(setVGAGain,SetVGAGain)
(setTxGain,SetTxGain)
(setAmpEnable,SetAmpEnable)
(setAntennaEnable,SetAntennaEnable)
(setSampleRate,SetSampleRate)
(getVersion,GetVersion)
(startRx,StartRx)
(stopRx,StopRx)
(startTx,StartTx)
(stopTx,StopTx)
(endTx,EndTx)
(endRx,EndRx)
(close,Close)
(34,size)
(28,size)
