(load,Load)
(setContext,SetContext)
(setInputGeom,SetInputGeom)
(build,Build)
(setCellSize,SetCellSize)
(setCellHeight,SetCellHeight)
(setAgentHeight,SetAgentHeight)
(setAgentRadius,SetAgentRadius)
(setAgentMaxClimb,SetAgentMaxClimb)
(setAgentMaxSlope,SetAgentMaxSlope)
(setRegionMinSize,SetRegionMinSize)
(setRegionMergeSize,SetRegionMergeSize)
(setEdgeMaxLen,SetEdgeMaxLen)
(setEdgeMaxError,SetEdgeMaxError)
(setVertsPerPoly,SetVertsPerPoly)
(setDetailSampleDist,SetDetailSampleDist)
(setDetailSampleMaxError,SetDetailSampleMaxError)
(setPartitionType,SetPartitionType)
(update,Update)
(addTempObstacle,AddTempObstacle)
(removeTempObstacle,RemoveTempObstacle)
(clearAllTempObstacles,ClearAllTempObstacles)
(findNearestPoint,FindNearestPoint)
(findRandomPoint,FindRandomPoint)
(findPath,FindPath)
