(calculateObjectSize,CalculateObjectSize)
(serialize,BSONSerialize)
(serializeWithBufferAndIndex,SerializeWithBufferAndIndex)
(deserialize,BSONDeserialize)
(deserializeStream,BSONDeserializeStream)
(unmask,BufferUtil)
(mask,BufferUtil)
(merge,BufferUtil)
(isValidUTF8,Validation)
(time,Time_)
(tzset,Tzset)
(localtime,Localtime)
(mktime,Mktime)
