(restore,Restore)
(receiveData,ReceiveDataFromNode)
(close,Close)
(send,Send)
(resumeSession,ResumeSession)
(renegotiate,Renegotiate)
(publicKey,GetPublicKey)
(publicKeyPEM,GetPublicKeyPEM)
(publicKeyHash,GetPublicKeyHash)
(certificateHash,GetCertificateHash)
(outCounter,GetOutCounter)
(session,GetSession)
(connect,Connect)
