(release,Release)
(save,Save)
(delete,Delete)
(byName,ByName)
(add,Add)
(deleteById,DeleteById)
(copy,Copy)
(addRecipient,AddRecipient)
(byAddress,ByAddress)
(delete,DeleteById)
(item,Item)
(byId,ById)
(deleteById,Delete)
(clear,Clear)
(get,Get)
(request,Request)
(authenticate,Authenticate)
(newMessage,NewMessage)
