(init,init)
(exit,exit)
(discoverDevices,discoverDevices)
(openDevice,openDevice)
(closeDevice,closeDevice)
(getEnrollStages,getEnrollStages)
(enrollStart,enrollStart)
(enrollStop,enrollStop)
(verifyStart,verifyStart)
(verifyStop,verifyStop)
(identifyStart,identifyStart)
(identifyStop,identifyStop)
(setDebug,setDebug)
