(eval,Eval)
(evaluateWithExceptionDetails,EvaluateWithExceptionDetails)
(setNonEnumProperty,SetNonEnumProperty)
(subtype,Subtype)
(internalConstructorName,InternalConstructorName)
(functionDetailsWithoutScopes,FunctionDetailsWithoutScopes)
(callFunction,CallFunction)
(functionName,name)
(call,Debug)
(sendCommand,Debug)
(runScript,Debug)
(allowNatives,Debug)
