(SDL_GetPixel,_export_SDL_GetPixel)
(SDL_PutPixel,_export_SDL_PutPixel)
(SDL_GetTicks,_export_SDL_GetTicks)
(SDL_Delay,_export_SDL_Delay)
(SDL_GetRevisionNumber,_export_SDL_GetRevisionNumber)
(SDL_GetNumVideoDrivers,_export_SDL_GetNumVideoDrivers)
(SDL_GetVideoDriver,_export_SDL_GetVideoDriver)
(SDL_VideoInit,_export_SDL_VideoInit)
(SDL_VideoQuit,_export_SDL_VideoQuit)
(SDL_GetCurrentVideoDriver,_export_SDL_GetCurrentVideoDriver)
(SDL_GetNumVideoDisplays,_export_SDL_GetNumVideoDisplays)
(SDL_GetDisplayName,_export_SDL_GetDisplayName)
(SDL_GetDisplayBounds,_export_SDL_GetDisplayBounds)
(SDL_GetCurrentDisplayMode,_export_SDL_GetCurrentDisplayMode)
(SDL_GetWindowDisplayIndex,_export_SDL_GetWindowDisplayIndex)
(SDL_GetWindowPixelFormat,_export_SDL_GetWindowPixelFormat)
(SDL_CreateWindow,_export_SDL_CreateWindow)
(SDL_GetWindowFlags,_export_SDL_GetWindowFlags)
(SDL_GetWindowTitle,_export_SDL_GetWindowTitle)
(SDL_GetWindowPosition,_export_SDL_GetWindowPosition)
(SDL_GetWindowSize,_export_SDL_GetWindowSize)
(SDL_GetWindowMinimumSize,_export_SDL_GetWindowMinimumSize)
(SDL_GetWindowMaximumSize,_export_SDL_GetWindowMaximumSize)
(SDL_ShowWindow,_export_SDL_ShowWindow)
(SDL_HideWindow,_export_SDL_HideWindow)
(SDL_RaiseWindow,_export_SDL_RaiseWindow)
(SDL_MaximizeWindow,_export_SDL_MaximizeWindow)
(SDL_MinimizeWindow,_export_SDL_MinimizeWindow)
(SDL_RestoreWindow,_export_SDL_RestoreWindow)
(SDL_GetWindowGrab,_export_SDL_GetWindowGrab)
(SDL_GetWindowBrightness,_export_SDL_GetWindowBrightness)
(SDL_DestroyWindow,_export_SDL_DestroyWindow)
(SDL_IsScreenSaverEnabled,_export_SDL_IsScreenSaverEnabled)
(SDL_EnableScreenSaver,_export_SDL_EnableScreenSaver)
(SDL_DisableScreenSaver,_export_SDL_DisableScreenSaver)
