(close,Close)
(setOpt,SetOpt)
(getOpt,GetOpt)
(state,Socket)
(bind,Bind)
(bindSync,BindSync)
(unbind,Unbind)
(unbindSync,UnbindSync)
(connect,Connect)
(getsockopt,GetSockOpt)
(setsockopt,SetSockOpt)
(ref,AttachToEventLoop)
(unref,DetachFromEventLoop)
(recv,Recv)
(readv,Readv)
(sendv,Sendv)
(disconnect,Disconnect)
(monitor,Monitor)
(unmonitor,Unmonitor)
(zmqVersion,ZmqVersion)
(zmqCurveKeypair,ZmqCurveKeypair)
