(plusOne,PlusOne)
(getNumCameras,getNumCameras)
(takePhoto,takePhoto)
(startCamera,startCamera)
(getWidth,getWidth)
(getHeight,getHeight)
(autoGain,autoGain)
(autoExposure,autoExposure)
(frameRate,frameRate)
(gain,gain)
(autoWhiteBalance,autoWhiteBalance)
(exposure,exposure)
(getExposure,getExposure)
(triggerOff,triggerOff)
(triggerDelay,triggerDelay)
(getCamInfo,getCamInfo)
(verbose,verbose)
(exports,CreateObject)
