(init,init)
(add,add)
(multiply,multiply)
(divide,divide)
(inverse,inverse)
(initContext,initContext)
(removeContext,removeContext)
(multRegion,multRegion)
(multRegionArr,multRegionArr)
(multRegionMatrix,multRegionMatrix)
(multRegionArrThreads,multRegionArrThreads)
(multRegionMatrixThreads,multRegionMatrixThreads)
(multRegionMatrixContext,multRegionMatrixContext)
(multRegionMatrixThreadsContext,multRegionMatrixThreadsContext)
