(getCurrentWindow,GetCurrentWindow)
(getDrawableSize,GetDrawableSize)
(getSwapInterval,GetSwapInterval)
(numJoysticks,NumJoysticks)
(joystickNameForIndex,JoystickNameForIndex)
(joystickGetDeviceGUID,JoystickGetDeviceGUID)
(joystickGetGUIDFromString,JoystickGetGUIDFromString)
(joystickGetGUIDString,JoystickGetGUIDString)
(joystickUpdate,JoystickUpdate)
(joystickEventState,JoystickEventState)
(addMapping,AddMapping)
(addMappingsFromFile,AddMappingsFromFile)
(mappingForGuid,MappingForGUID)
(nameForIndex,NameForIndex)
(getAxisFromString,GetAxisFromString)
(getButtonFromString,GetButtonFromString)
