(gcd,GCD)
(lcm,LCM)
(add,Add)
(subtract,Subtract)
(multiply,Multiply)
(divide,Divide)
(power,Power)
(initializeFromString,InitializeFromString)
(isEqualTo,IsEqualTo)
(isLessThan,IsLessThan)
(isGreaterThan,IsGreaterThan)
(isLessThanOrEqualTo,IsLessThanOrEqualTo)
(isGreaterThanOrEqualTo,IsGreaterThanOrEqualTo)
(factorial,Factorial)
(getFactorialMax,GetFactorialMax)
(modulus,Modulus)
(floor,Floor)
