(Connection,New)
(connect,Connect)
(select,Select)
(get,Get)
(set,Set)
(del,Del)
(lpush,Lpush)
(rpush,Rpush)
(lrange,Lrange)
(lpop,Lpop)
(rpop,Rpop)
(expire,Expire)
(exists,Exists)
(incr,Incr)
(incrby,Incrby)
(decr,Decr)
(decrby,Decrby)
(sadd,Sadd)
(smembers,Smembers)
(randomkey,Randomkey)
(srandmember,Srandmember)
(flushall,Flushall)
(flushdb,Flushdb)
(disconnect,Disconnect)
