(writeNotPermitted,WriteNotPermittedGetter)
(canMaintainConnection,CanMaintainConnectionGetter)
(maxPduSize,MaxPduSizeGetter)
(sessionStatus,SessionStatusGetter)
(error,ErrorGetter)
(getDescriptors,GetDescriptors)
(getAllDescriptors,GetAllDescriptors)
(readValueAsync,ReadValueAsync)
(writeValueAsync,WriteValueAsync)
(readClientCharacteristicConfigurationDescriptorAsync,ReadClientCharacteristicConfigurationDescriptorAsync)
(writeClientCharacteristicConfigurationDescriptorAsync,WriteClientCharacteristicConfigurationDescriptorAsync)
(getDescriptorsAsync,GetDescriptorsAsync)
(getDescriptorsForUuidAsync,GetDescriptorsForUuidAsync)
(writeValueWithResultAsync,WriteValueWithResultAsync)
(writeClientCharacteristicConfigurationDescriptorWithResultAsync,WriteClientCharacteristicConfigurationDescriptorWithResultAsync)
(characteristicProperties,CharacteristicPropertiesGetter)
(presentationFormats,PresentationFormatsGetter)
(userDescription,UserDescriptionGetter)
(service,ServiceGetter)
(characteristics,CharacteristicsGetter)
(description,DescriptionGetter)
(exponent,ExponentGetter)
(formatType,FormatTypeGetter)
(namespace,NamespaceGetter)
(unit,UnitGetter)
(fromParts,FromParts)
(bluetoothSigAssignedNumbers,BluetoothSigAssignedNumbersGetter)
(clientCharacteristicConfigurationDescriptor,ClientCharacteristicConfigurationDescriptorGetter)
(characteristicValue,CharacteristicValueGetter)
(timestamp,TimestampGetter)
(descriptors,DescriptorsGetter)
(bit2,Bit2Getter)
(boolean,BooleanGetter)
(dUInt16,DUInt16Getter)
(float,FloatGetter)
(float32,Float32Getter)
(float64,Float64Getter)
(nibble,NibbleGetter)
(sFloat,SFloatGetter)
(sInt12,SInt12Getter)
(sInt128,SInt128Getter)
(sInt16,SInt16Getter)
(sInt24,SInt24Getter)
(sInt32,SInt32Getter)
(sInt48,SInt48Getter)
(sInt64,SInt64Getter)
(sInt8,SInt8Getter)
(struct,StructGetter)
(uInt12,UInt12Getter)
(uInt128,UInt128Getter)
(uInt16,UInt16Getter)
(uInt24,UInt24Getter)
(uInt32,UInt32Getter)
(uInt48,UInt48Getter)
(uInt64,UInt64Getter)
(uInt8,UInt8Getter)
(utf16,Utf16Getter)
(utf8,Utf8Getter)
(cyclingSpeedAndCadence,CyclingSpeedAndCadenceGetter)
(battery,BatteryGetter)
(bloodPressure,BloodPressureGetter)
(genericAccess,GenericAccessGetter)
(genericAttribute,GenericAttributeGetter)
(glucose,GlucoseGetter)
(healthThermometer,HealthThermometerGetter)
(heartRate,HeartRateGetter)
(runningSpeedAndCadence,RunningSpeedAndCadenceGetter)
(nextDstChange,NextDstChangeGetter)
(alertNotification,AlertNotificationGetter)
(currentTime,CurrentTimeGetter)
(cyclingPower,CyclingPowerGetter)
(deviceInformation,DeviceInformationGetter)
(humanInterfaceDevice,HumanInterfaceDeviceGetter)
(immediateAlert,ImmediateAlertGetter)
(linkLoss,LinkLossGetter)
(locationAndNavigation,LocationAndNavigationGetter)
(phoneAlertStatus,PhoneAlertStatusGetter)
(referenceTimeUpdate,ReferenceTimeUpdateGetter)
(scanParameters,ScanParametersGetter)
(txPower,TxPowerGetter)
(batteryLevel,BatteryLevelGetter)
(bloodPressureFeature,BloodPressureFeatureGetter)
(bloodPressureMeasurement,BloodPressureMeasurementGetter)
(bodySensorLocation,BodySensorLocationGetter)
(cscFeature,CscFeatureGetter)
(cscMeasurement,CscMeasurementGetter)
(glucoseFeature,GlucoseFeatureGetter)
(glucoseMeasurement,GlucoseMeasurementGetter)
