(clear,clear)
(next,next)
(filter_point_in_time,filter_point_in_time)
(create_node_buffer,create_node_buffer)
(read_relations,read_relations)
(handler,handler)
(wkb,wkb)
(wkt,wkt)
(header,header)
(close,close)
(read,read)
(read_all,read_all)
(tags,tags)
(members,members)
(node_refs,node_refs)
(node_coordinates,node_coordinates)
(end,stream_end)
(on,on)
(options,options)
(ignoreErrors,ignoreErrors)
(coordinates,coordinates)
