(width,width)
(height,height)
(getPixel,getPixel)
(buffer,buffer)
(resize,resize)
(rotate,rotate)
(blur,blur)
(crop,crop)
(mirror,mirror)
(pad,pad)
(sharpen,sharpen)
(hslaAdj,hslaAdj)
(opacify,opacify)
(paste,paste)
(setPixel,setPixel)
(jpeg,decodeJpegBuffer)
(png,decodePngBuffer)
(gif,decodeGifBuffer)
(jpeg,encodeToJpegBuffer)
(png,encodeToPngBuffer)
(gif,encodeToGifBuffer)
