(query,Query)
(lastError,LastError)
(lastErrorCode,LastErrorCode)
(lastInsertId,LastInsertID)
(count,Count)
(fieldCount,FieldCount)
(fieldName,FieldName)
(fieldIndex,FieldIndex)
(seek,Seek)
(previousRow,PreviousRow)
(nextRow,NextRow)
(currentRow,CurrentRow)
(value,Value)
(begin,Begin)
(commit,Commit)
(rollback,Rollback)
