(close,Close)
(isRunning,IsRunning)
(queNum,QueueNum)
(Independent0,Independent0)
(Independent1,Independent1)
(Independent2,Independent2)
(Independent3,Independent3)
(Independent4,Independent4)
(Independent5,Independent5)
(Independent6,Independent6)
(Independent7,Independent7)
(Independent8,Independent8)
