(init,Init)
(terminate,Terminate)
(initHint,InitHint)
(getVersion,GetVersion)
(getVersionString,GetVersionString)
(getError,GetError)
(setErrorCallback,SetErrorCallback)
(getMonitors,GetMonitors)
(getPrimaryMonitor,GetPrimaryMonitor)
(getMonitorPos,GetMonitorPos)
(getMonitorWorkarea,GetMonitorWorkarea)
(getMonitorPhysicalSize,GetMonitorPhysicalSize)
(getMonitorContentScale,GetMonitorContentScale)
(getMonitorName,GetMonitorName)
(setMonitorUserPointer,SetMonitorUserPointer)
(getMonitorUserPointer,GetMonitorUserPointer)
(setMonitorCallback,SetMonitorCallback)
(getVideoModes,GetVideoModes)
(getVideoMode,GetVideoMode)
(setGamma,SetGamma)
(getGammaRamp,GetGammaRamp)
(setGammaRamp,SetGammaRamp)
(defaultWindowHints,DefaultWindowHints)
(windowHint,WindowHint)
(windowHintString,WindowHintString)
(createWindow,CreateWindow)
(destroyWindow,DestroyWindow)
(windowShouldClose,WindowShouldClose)
(setWindowShouldClose,SetWindowShouldClose)
(setWindowTitle,SetWindowTitle)
(setWindowIcon,SetWindowIcon)
(getWindowPos,GetWindowPos)
(setWindowPos,SetWindowPos)
(getWindowSize,GetWindowSize)
(setWindowSizeLimits,SetWindowSizeLimits)
(setWindowAspectRatio,SetWindowAspectRatio)
(setWindowSize,SetWindowSize)
(getFramebufferSize,GetFramebufferSize)
(getWindowFrameSize,GetWindowFrameSize)
(getWindowContentScale,GetWindowContentScale)
(getWindowOpacity,GetWindowOpacity)
(setWindowOpacity,SetWindowOpacity)
(iconifyWindow,IconifyWindow)
(restoreWindow,RestoreWindow)
(maximizeWindow,MaximizeWindow)
(showWindow,ShowWindow)
(hideWindow,HideWindow)
(focusWindow,FocusWindow)
(requestWindowAttention,RequestWindowAttention)
(getWindowMonitor,GetWindowMonitor)
(setWindowMonitor,SetWindowMonitor)
(getWindowAttrib,GetWindowAttrib)
(setWindowAttrib,SetWindowAttrib)
(setWindowUserPointer,SetWindowUserPointer)
(getWindowUserPointer,GetWindowUserPointer)
(setWindowPosCallback,SetWindowPosCallback)
(setWindowSizeCallback,SetWindowSizeCallback)
(setWindowCloseCallback,SetWindowCloseCallback)
(setWindowRefreshCallback,SetWindowRefreshCallback)
(setWindowFocusCallback,SetWindowFocusCallback)
(setWindowIconifyCallback,SetWindowIconifyCallback)
(setWindowMaximizeCallback,SetWindowMaximizeCallback)
(setFramebufferSizeCallback,SetFramebufferSizeCallback)
(setWindowContentScaleCallback,SetWindowContentScaleCallback)
(pollEvents,PollEvents)
(waitEvents,WaitEvents)
(waitEventsTimeout,WaitEventsTimeout)
(postEmptyEvent,PostEmptyEvent)
(getInputMode,GetInputMode)
(setInputMode,SetInputMode)
(rawMouseMotionSupported,RawMouseMotionSupported)
(getKeyName,GetKeyName)
(getKeyScancode,GetKeyScancode)
(getKey,GetKey)
(getMouseButton,GetMouseButton)
(getCursorPos,GetCursorPos)
(setCursorPos,SetCursorPos)
(createCursor,CreateCursor)
(createStandardCursor,CreateStandardCursor)
(destroyCursor,DestroyCursor)
(setCursor,SetCursor)
(setKeyCallback,SetKeyCallback)
(setCharCallback,SetCharCallback)
(setCharModsCallback,SetCharModsCallback)
(setMouseButtonCallback,SetMouseButtonCallback)
(setCursorPosCallback,SetCursorPosCallback)
(setCursorEnterCallback,SetCursorEnterCallback)
(setScrollCallback,SetScrollCallback)
(setDropCallback,SetDropCallback)
(joystickPresent,JoystickPresent)
(getJoystickAxes,GetJoystickAxes)
(getJoystickButtons,GetJoystickButtons)
(getJoystickHats,GetJoystickHats)
(getJoystickName,GetJoystickName)
(getJoystickGUID,GetJoystickGUID)
(setJoystickUserPointer,SetJoystickUserPointer)
(getJoystickUserPointer,GetJoystickUserPointer)
(joystickIsGamepad,JoystickIsGamepad)
(setJoystickCallback,SetJoystickCallback)
(updateGamepadMappings,UpdateGamepadMappings)
(getGamepadName,GetGamepadName)
(getGamepadState,GetGamepadState)
(setClipboardString,SetClipboardString)
(getClipboardString,GetClipboardString)
(getTime,GetTime)
(setTime,SetTime)
(getTimerValue,GetTimerValue)
(getTimerFrequency,GetTimerFrequency)
(makeContextCurrent,MakeContextCurrent)
(getCurrentContext,GetCurrentContext)
(swapBuffers,SwapBuffers)
(swapInterval,SwapInterval)
(extensionSupported,ExtensionSupported)
(getProcAddress,GetProcAddress)
(vulkanSupported,VulkanSupported)
(getRequiredInstanceExtensions,GetRequiredInstanceExtensions)
(getInstanceProcAddress,GetInstanceProcAddress)
(getPhysicalDevicePresentationSupport,GetPhysicalDevicePresentationSupport)
(createWindowSurface,CreateWindowSurface)
