(parse,Parse)
(setEncoding,SetEncoding)
(setUnknownEncoding,SetUnknownEncoding)
(getError,GetError)
(stop,Stop)
(resume,Resume)
(reset,Reset)
(getCurrentLineNumber,GetCurrentLineNumber)
(getCurrentColumnNumber,GetCurrentColumnNumber)
(getCurrentByteIndex,GetCurrentByteIndex)
(setEncoding,SetEncoding)
(setUnknownEncoding,SetUnknownEncoding)
