(onEvent,onEvent)
(videoSourceStartPreview,videoSourceStartPreview)
(videoSourceStopPreview,videoSourceStopPreview)
(videoSourceEnableWebSdkInteroperability,videoSourceEnableWebSdkInteroperability)
(videoSourceEnableDualStreamMode,videoSourceEnableDualStreamMode)
(videoSourceSetLogFile,videoSourceSetLogFile)
(videoSourceSetParameter,videoSourceSetParameter)
(videoSourceUpdateScreenCaptureRegion,videoSourceUpdateScreenCaptureRegion)
(videoSourceEnableLoopbackRecording,videoSourceEnableLoopbackRecording)
(videoSourceEnableAudio,videoSourceEnableAudio)
(videoSourceEnableEncryption,videoSourceEnableEncryption)
(videoSourceSetEncryptionMode,videoSourceSetEncryptionMode)
(videoSourceSetEncryptionSecret,videoSourceSetEncryptionSecret)
(setBool,setBool)
(setInt,setInt)
(setUInt,setUInt)
(setNumber,setNumber)
(setString,setString)
(setObject,setObject)
(getBool,getBool)
(getInt,getInt)
(getUInt,getUInt)
(getNumber,getNumber)
(getString,getString)
(getObject,getObject)
(getArray,getArray)
(setParameters,setParameters)
(setProfile,setProfile)
(convertPath,convertPath)
(setVideoRenderDimension,setVideoRenderDimension)
(setHighFPS,setHighFPS)
(setFPS,setFPS)
(addToHighVideo,addToHighVideo)
(removeFromHighVideo,removeFromHighVideo)
(initializePluginManager,initializePluginManager)
(releasePluginManager,releasePluginManager)
(registerPlugin,registerPlugin)
(unregisterPlugin,unregisterPlugin)
(enablePlugin,enablePlugin)
(getPlugins,getPlugins)
(setPluginParameter,setPluginParameter)
(getPluginParameter,getPluginParameter)
(getConnectionState,getConnectionState)
(release,release)
(setBeautyEffectOptions,setBeautyEffectOptions)
(setLocalVoiceChanger,setLocalVoiceChanger)
(setLocalVoiceReverbPreset,setLocalVoiceReverbPreset)
(enableSoundPositionIndication,enableSoundPositionIndication)
(setRemoteVoicePosition,setRemoteVoicePosition)
(startLastmileProbeTest,startLastmileProbeTest)
(stopLastmileProbeTest,stopLastmileProbeTest)
(setRemoteUserPriority,setRemoteUserPriority)
(startEchoTestWithInterval,startEchoTestWithInterval)
(startAudioDeviceLoopbackTest,startAudioDeviceLoopbackTest)
(stopAudioDeviceLoopbackTest,stopAudioDeviceLoopbackTest)
(setCameraCapturerConfiguration,setCameraCapturerConfiguration)
(setLogFileSize,setLogFileSize)
(videosourceStartScreenCaptureByScreen,videosourceStartScreenCaptureByScreen)
(videosourceStartScreenCaptureByWindow,videosourceStartScreenCaptureByWindow)
(videosourceUpdateScreenCaptureParameters,videosourceUpdateScreenCaptureParameters)
(videosourceSetScreenCaptureContentHint,videosourceSetScreenCaptureContentHint)
(registerLocalUserAccount,registerLocalUserAccount)
(joinChannelWithUserAccount,joinChannelWithUserAccount)
(getUserInfoByUserAccount,getUserInfoByUserAccount)
(getUserInfoByUid,getUserInfoByUid)
(switchChannel,switchChannel)
(startChannelMediaRelay,startChannelMediaRelay)
(updateChannelMediaRelay,updateChannelMediaRelay)
(stopChannelMediaRelay,stopChannelMediaRelay)
(createChannel,createChannel)
(startScreenCaptureByScreen,startScreenCaptureByScreen)
(startScreenCaptureByWindow,startScreenCaptureByWindow)
(updateScreenCaptureParameters,updateScreenCaptureParameters)
(setScreenCaptureContentHint,setScreenCaptureContentHint)
(adjustUserPlaybackSignalVolume,adjustUserPlaybackSignalVolume)
(setAudioMixingPitch,setAudioMixingPitch)
(sendMetadata,sendMetadata)
(addMetadataEventHandler,addMetadataEventHandler)
(setMaxMetadataSize,setMaxMetadataSize)
(registerMediaMetadataObserver,registerMediaMetadataObserver)
(unRegisterMediaMetadataObserver,unRegisterMediaMetadataObserver)
(sendCustomReportMessage,sendCustomReportMessage)
(enableEncryption,enableEncryption)
(id,isolate)
(publish,publish)
(unpublish,unpublish)
(channelId,channelId)
(setRemoteRenderMode,setRemoteRenderMode)
(uid,isolate)
(volume,isolate)
(che.video.localViewMirrorSetting,value)
