(close,CloseDevice)
(SetRelay,SetRelay)
(SetVoltage,SetVoltage)
(SetLEDValue,SetLEDValue)
(DefineFunction,DefineFunction)
(StartFunction,StartFunction)
(StopFunction,StopFunction)
(GetValues,GetValues)
(GetValue,GetValue)
(GetOscilloscopeStatus,GetOscilloscopeStatus)
(StartOscilloscope,StartOscilloscope)
(StopOscilloscope,StopOscilloscope)
