(init,Init)
(quit,Quit)
(delay,Delay)
(getTicks,GetTicks)
(getPerformanceCounter,GetPerformanceCounter)
(getPerformanceFrequency,GetPerformanceFrequency)
(pollEvent,PollEvent)
(showCursor,ShowCursor)
(warpMouseInWindow,WarpMouseInWindow)
(createWindow,CreateWindow)
(setWindowTitle,SetWindowTitle)
(createRenderer,CreateRenderer)
(setRenderDrawColor,SetRenderDrawColor)
(renderClear,RenderClear)
(renderPresent,RenderPresent)
(renderFillRect,RenderFillRect)
