(close,Close)
(freeMem,FreeMem)
(setRecoverySlices,SetRecoverySlices)
(setCurrentSliceSize,SetCurrentSliceSize)
(setNumThreads,SetNumThreads)
(setProgressCb,SetProgressCb)
(info,GetInfo)
(add,AddSlice)
(end,EndInput)
(get,GetOutputSlice)
(update,Update)
(end,End)
(reset,Reset)
(get,Get)
(gf_info,GfInfo)
(opencl_devices,OclDevices)
(opencl_device_info,OclDeviceInfo)
(hasher_clear,HasherInputClear)
(set_HasherInput,SetHasherInput)
(set_HasherOutput,SetHasherOutput)
(hasherInput_method,HasherInputMethod)
(hasherOutput_method,HasherOutputMethod)
