(name,name)
(title,profile)
(topDownRoot,profile)
(startTime,profile)
(endTime,profile)
(startProfiling,StartProfiling)
(stopProfiling,StopProfiling)
(setSamplingInterval,SetSamplingInterval)
(startSamplingHeapProfiler,StartSamplingHeapProfiler)
(stopSamplingHeapProfiler,StopSamplingHeapProfiler)
(getAllocationProfile,GetAllocationProfile)
