(type,type_name)
(close,close)
(open,open)
(query,query)
(bindQuery,bind_query)
(prepare,prepare)
(readColumn,read_column)
(beginTransaction,begin_transaction)
(commit,commit)
(rollback,rollback)
(nextResult,read_next_result)
(callProcedure,call_procedure)
(unbind,unbind)
(freeStatement,free_statement)
(cancelQuery,cancel_statement)
(pollingMode,polling_mode)
