(put,put)
(incr,incr)
(get,get)
(exists,exists)
(del,del)
(keys,keys)
(clear,clear)
(names,names)
(size,size)
(each,each)
(begin,begin)
(next,next)
(lruInit,lruInit)
(lruStats,lruStats)
(lruSize,lruSize)
(lruCount,lruCount)
(lruPut,lruPut)
(lruGet,lruGet)
(lruExists,lruExists)
(lruIncr,lruIncr)
(lruDel,lruDel)
(lruKeys,lruKeys)
(lruClear,lruClear)
(lruClean,lruClean)
(lruFront,lruFront)
