(1,data)
(base58_encode,base58_encode)
(base58_decode,base58_decode)
(base58_test,base58_test)
(bech32_serialize,bech32_serialize)
(bech32_deserialize,bech32_deserialize)
(bech32_is,bech32_is)
(bech32_convert_bits,bech32_convert_bits)
(bech32_encode,bech32_encode)
(bech32_decode,bech32_decode)
(bech32_test,bech32_test)
(cashaddr_encode,cashaddr_encode)
(cashaddr_decode,cashaddr_decode)
(cashaddr_test,cashaddr_test)
