(isPoint,eccIsPoint)
(isPointCompressed,eccIsPointCompressed)
(isPrivate,eccIsPrivate)
(pointAdd,eccPointAdd)
(pointAddScalar,eccPointAddScalar)
(pointCompress,eccPointCompress)
(pointFromScalar,eccPointFromScalar)
(pointMultiply,eccPointMultiply)
(privateAdd,eccPrivateAdd)
(privateSub,eccPrivateSub)
(sign,ecdsaSign)
(signWithEntropy,ecdsaSignWithEntropy)
(verify,ecdsaVerify)
