(add,Add)
(subtract,Subtract)
(multiply,Multiply)
(divide,Divide)
(modulo,Modulo)
(negate,Negate)
(abs,Abs)
(and,And)
(or,Or)
(xor,Xor)
(not,Not)
(shiftLeft,ShiftLeft)
(shiftRight,ShiftRight)
(equals,Equals)
(notEquals,NotEquals)
(greaterThan,GreaterThan)
(greaterThanOrEquals,GreaterThanOrEquals)
(lessThan,LessThan)
(lessThanOrEquals,LessThanOrEquals)
(compare,Compare)
(bitSizeAbs,BitSizeAbs)
(isEven,IsEven)
(isOdd,IsOdd)
(isPositive,IsPositive)
(isNegative,IsNegative)
(isZero,IsZero)
(isNonZero,IsNonZero)
(isSafe,IsSafe)
(isUnsafe,IsUnsafe)
(toNumberUnsafe,ToNumberUnsafe)
(toString,ToString)
(valueOf,ValueOf)
(fromString,FromString)
(fromNumber,FromNumber)
(fromBits,FromBits)
(isInstance,IsInstance)
